year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,11,9,1001,1000,1,1614,1555,19,HA,51,N392HA,JFK,HNL,651,4983,10,0,2013-11-09T15:00:00Z
2013,11,10,957,1000,-3,1625,1555,30,HA,51,N393HA,JFK,HNL,667,4983,10,0,2013-11-10T15:00:00Z
2013,11,11,957,1000,-3,1627,1555,32,HA,51,N383HA,JFK,HNL,669,4983,10,0,2013-11-11T15:00:00Z
2013,11,12,955,1000,-5,1634,1555,39,HA,51,N384HA,JFK,HNL,663,4983,10,0,2013-11-12T15:00:00Z
2013,11,13,1002,1000,2,1550,1555,-5,HA,51,N390HA,JFK,HNL,622,4983,10,0,2013-11-13T15:00:00Z
2013,11,15,951,1000,-9,1545,1555,-10,HA,51,N386HA,JFK,HNL,633,4983,10,0,2013-11-15T15:00:00Z
2013,11,16,1028,1000,28,1622,1555,27,HA,51,N383HA,JFK,HNL,631,4983,10,0,2013-11-16T15:00:00Z
2013,11,17,946,1000,-14,1547,1555,-8,HA,51,N386HA,JFK,HNL,639,4983,10,0,2013-11-17T15:00:00Z
2013,11,18,956,1000,-4,1559,1555,4,HA,51,N381HA,JFK,HNL,646,4983,10,0,2013-11-18T15:00:00Z
2013,11,20,1006,1000,6,1639,1555,44,HA,51,N386HA,JFK,HNL,675,4983,10,0,2013-11-20T15:00:00Z
2013,11,21,949,1000,-11,1608,1555,13,HA,51,N381HA,JFK,HNL,656,4983,10,0,2013-11-21T15:00:00Z
2013,11,22,950,1000,-10,1556,1555,1,HA,51,N384HA,JFK,HNL,648,4983,10,0,2013-11-22T15:00:00Z
2013,11,23,953,1000,-7,1545,1555,-10,HA,51,N385HA,JFK,HNL,629,4983,10,0,2013-11-23T15:00:00Z
2013,11,24,949,1000,-11,1524,1555,-31,HA,51,N392HA,JFK,HNL,618,4983,10,0,2013-11-24T15:00:00Z
2013,11,25,950,1000,-10,1542,1555,-13,HA,51,N391HA,JFK,HNL,634,4983,10,0,2013-11-25T15:00:00Z
2013,11,26,944,1000,-16,1539,1555,-16,HA,51,N380HA,JFK,HNL,630,4983,10,0,2013-11-26T15:00:00Z
2013,11,27,949,1000,-11,1536,1555,-19,HA,51,N389HA,JFK,HNL,621,4983,10,0,2013-11-27T15:00:00Z
2013,11,29,954,1000,-6,1547,1555,-8,HA,51,N395HA,JFK,HNL,626,4983,10,0,2013-11-29T15:00:00Z
2013,11,30,954,1000,-6,1533,1555,-22,HA,51,N390HA,JFK,HNL,620,4983,10,0,2013-11-30T15:00:00Z
2013,12,1,928,930,-2,1532,1535,-3,HA,51,N393HA,JFK,HNL,625,4983,9,30,2013-12-01T14:00:00Z
2013,12,2,920,930,-10,1525,1535,-10,HA,51,N380HA,JFK,HNL,640,4983,9,30,2013-12-02T14:00:00Z
2013,12,4,933,930,3,1519,1535,-16,HA,51,N395HA,JFK,HNL,628,4983,9,30,2013-12-04T14:00:00Z
2013,12,5,920,930,-10,1609,1535,34,HA,51,N393HA,JFK,HNL,659,4983,9,30,2013-12-05T14:00:00Z
2013,12,6,924,930,-6,1545,1535,10,HA,51,N390HA,JFK,HNL,660,4983,9,30,2013-12-06T14:00:00Z
2013,12,7,927,930,-3,1549,1535,14,HA,51,N391HA,JFK,HNL,659,4983,9,30,2013-12-07T14:00:00Z
2013,12,8,935,930,5,1520,1535,-15,HA,51,N389HA,JFK,HNL,628,4983,9,30,2013-12-08T14:00:00Z
2013,12,9,928,930,-2,1528,1535,-7,HA,51,N380HA,JFK,HNL,622,4983,9,30,2013-12-09T14:00:00Z
2013,12,11,930,930,0,1539,1535,4,HA,51,N381HA,JFK,HNL,637,4983,9,30,2013-12-11T14:00:00Z
2013,12,13,929,930,-1,1527,1535,-8,HA,51,N395HA,JFK,HNL,624,4983,9,30,2013-12-13T14:00:00Z
2013,12,14,925,930,-5,1533,1535,-2,HA,51,N380HA,JFK,HNL,618,4983,9,30,2013-12-14T14:00:00Z
2013,12,15,933,930,3,1527,1535,-8,HA,51,N388HA,JFK,HNL,626,4983,9,30,2013-12-15T14:00:00Z
2013,12,16,929,930,-1,1514,1535,-21,HA,51,N388HA,JFK,HNL,630,4983,9,30,2013-12-16T14:00:00Z
2013,12,17,933,930,3,1553,1535,18,HA,51,N380HA,JFK,HNL,621,4983,9,30,2013-12-17T14:00:00Z
2013,12,18,928,930,-2,1543,1535,8,HA,51,N395HA,JFK,HNL,641,4983,9,30,2013-12-18T14:00:00Z
2013,12,19,924,930,-6,1450,1535,-45,HA,51,N386HA,JFK,HNL,609,4983,9,30,2013-12-19T14:00:00Z
2013,12,20,926,930,-4,1508,1535,-27,HA,51,N388HA,JFK,HNL,618,4983,9,30,2013-12-20T14:00:00Z
2013,12,21,927,930,-3,1501,1535,-34,HA,51,N390HA,JFK,HNL,616,4983,9,30,2013-12-21T14:00:00Z
2013,12,22,925,930,-5,1517,1535,-18,HA,51,N380HA,JFK,HNL,620,4983,9,30,2013-12-22T14:00:00Z
2013,12,23,923,930,-7,1504,1535,-31,HA,51,N391HA,JFK,HNL,616,4983,9,30,2013-12-23T14:00:00Z
2013,12,24,934,930,4,1515,1535,-20,HA,51,N395HA,JFK,HNL,618,4983,9,30,2013-12-24T14:00:00Z
2013,12,25,924,930,-6,1520,1535,-15,HA,51,N388HA,JFK,HNL,619,4983,9,30,2013-12-25T14:00:00Z
2013,12,26,927,930,-3,1521,1535,-14,HA,51,N381HA,JFK,HNL,630,4983,9,30,2013-12-26T14:00:00Z
